index,lan,cat,precision,recall,f1
0,java,summary,0.8733850129198967,0.8294478527607362,0.8508495909376966
1,java,Ownership,1.0,1.0,1.0
2,java,Expand,0.3235294117647059,0.4444444444444444,0.37446808510638296
3,java,usage,0.911042944785276,0.8181818181818182,0.8621190130624092
4,java,Pointer,0.738255033557047,0.9401709401709402,0.8270676691729323
5,java,deprecation,0.8181818181818182,0.6,0.6923076923076923
6,java,rational,0.16216216216216217,0.29508196721311475,0.20930232558139536
7,python,Usage,0.7007874015748031,0.7355371900826446,0.717741935483871
8,python,Parameters,0.7938931297709924,0.8125,0.803088803088803
9,python,DevelopmentNotes,0.24390243902439024,0.4878048780487805,0.3252032520325203
10,python,Expand,0.4336283185840708,0.765625,0.5536723163841808
11,python,Summary,0.6486486486486487,0.5853658536585366,0.6153846153846154
12,pharo,Keyimplementationpoints,0.6363636363636364,0.6511627906976745,0.6436781609195402
13,pharo,Example,0.8728813559322034,0.9035087719298246,0.8879310344827587
14,pharo,Responsibilities,0.5961538461538461,0.5961538461538461,0.5961538461538461
15,pharo,Classreferences,0.2,0.5,0.2857142857142857
16,pharo,Intent,0.71875,0.7666666666666667,0.7419354838709677
17,pharo,Keymessages,0.68,0.7906976744186046,0.7311827956989247
18,pharo,Collaborators,0.2608695652173913,0.6,0.36363636363636365
